date,value
26/11/2004,5.485
29/11/2004,5.395
30/11/2004,5.3475
1/12/2004,5.28
2/12/2004,5.2075
3/12/2004,5.2575
6/12/2004,5.2975
7/12/2004,5.22
8/12/2004,5.2925
9/12/2004,5.265
10/12/2004,5.33
13/12/2004,5.4675
14/12/2004,5.5025
15/12/2004,5.46
16/12/2004,5.445
17/12/2004,5.4875
20/12/2004,5.5
21/12/2004,5.49
22/12/2004,5.4625
23/12/2004,5.505
27/12/2004,5.566
28/12/2004,5.4945
29/12/2004,5.454
30/12/2004,5.4735
3/1/2005,5.355
4/1/2005,5.25
5/1/2005,5.27
6/1/2005,5.325
7/1/2005,5.4225
10/1/2005,5.485
11/1/2005,5.4325
12/1/2005,5.3375
13/1/2005,5.365
14/1/2005,5.195
18/1/2005,5.135
19/1/2005,5.1775
20/1/2005,5.2325
21/1/2005,5.1675
24/1/2005,5.2
25/1/2005,5.26
26/1/2005,5.23
27/1/2005,5.1575
28/1/2005,5.14
31/1/2005,5.1475
1/2/2005,5.07
2/2/2005,5.0525
3/2/2005,5.02
4/2/2005,4.995
7/2/2005,5.0125
8/2/2005,5.035
9/2/2005,5.1075
10/2/2005,5.16
11/2/2005,5.2575
14/2/2005,5.3575
15/2/2005,5.3525
16/2/2005,5.35
17/2/2005,5.52
18/2/2005,5.525
22/2/2005,5.77
23/2/2005,5.779
24/2/2005,5.71
25/2/2005,6.017
28/2/2005,6.207
1/3/2005,6.1325
2/3/2005,6.2725
3/3/2005,6.2725
4/3/2005,6.2975
7/3/2005,6.16
8/3/2005,6.255
9/3/2005,6.295
10/3/2005,6.3925
11/3/2005,6.625
14/3/2005,6.56
15/3/2005,6.81
16/3/2005,6.735
17/3/2005,6.715
18/3/2005,6.49
21/3/2005,6.265
22/3/2005,6.2725
23/3/2005,6.2325
24/3/2005,6.2875
28/3/2005,6.2575
29/3/2005,6.24
30/3/2005,6.41
31/3/2005,6.275
1/4/2005,6.14
4/4/2005,6.15
5/4/2005,6.175
6/4/2005,6.2325
7/4/2005,6.235
8/4/2005,6.12
11/4/2005,6.1675
12/4/2005,6.175
13/4/2005,6.2325
14/4/2005,6.17
15/4/2005,6.1625
18/4/2005,6.095
19/4/2005,6.31
20/4/2005,6.3075
21/4/2005,6.3775
22/4/2005,6.33
25/4/2005,6.3525
26/4/2005,6.381
27/4/2005,6.2985
28/4/2005,6.2235
29/4/2005,6.2485
2/5/2005,6.2725
3/5/2005,6.255
4/5/2005,6.245
5/5/2005,6.2875
6/5/2005,6.4
9/5/2005,6.3775
10/5/2005,6.34
11/5/2005,6.33
12/5/2005,6.235
13/5/2005,6.1275
16/5/2005,6.235
17/5/2005,6.2075
18/5/2005,6.3325
19/5/2005,6.2925
20/5/2005,6.32
23/5/2005,6.4
24/5/2005,6.455
25/5/2005,6.665
26/5/2005,6.76
27/5/2005,6.6775
31/5/2005,6.8025
1/6/2005,6.8525
2/6/2005,6.685
3/6/2005,6.7525
6/6/2005,6.7775
7/6/2005,6.7475
8/6/2005,6.675
9/6/2005,6.7325
10/6/2005,6.6625
13/6/2005,6.805
14/6/2005,6.8975
15/6/2005,7.025
16/6/2005,7.0075
17/6/2005,7.24
20/6/2005,7.39
21/6/2005,7.3525
22/6/2005,7.37
23/6/2005,7.2575
24/6/2005,7.445
27/6/2005,6.9525
28/6/2005,6.6865
29/6/2005,6.747
30/6/2005,6.5515
1/7/2005,6.76
5/7/2005,7.155
6/7/2005,6.9825
7/7/2005,6.945
8/7/2005,6.78
11/7/2005,6.9
12/7/2005,7.0125
13/7/2005,7.14
14/7/2005,7.2
15/7/2005,7.21
18/7/2005,7.1725
19/7/2005,6.825
20/7/2005,6.845
21/7/2005,6.695
22/7/2005,6.6925
25/7/2005,6.6975
26/7/2005,6.7665
27/7/2005,6.7545
28/7/2005,6.871
29/7/2005,6.7595
1/8/2005,6.7725
2/8/2005,6.945
3/8/2005,6.7525
4/8/2005,6.755
5/8/2005,6.6175
8/8/2005,6.6425
9/8/2005,6.4625
10/8/2005,6.4575
11/8/2005,6.4325
12/8/2005,6.405
15/8/2005,6.1275
16/8/2005,6.1675
17/8/2005,6.15
18/8/2005,6.0975
19/8/2005,5.9725
22/8/2005,6.0725
23/8/2005,6.1075
24/8/2005,6.025
25/8/2005,5.87
26/8/2005,5.932
29/8/2005,5.988
30/8/2005,6.065
31/8/2005,5.9635
1/9/2005,6.07
2/9/2005,5.99
6/9/2005,6.1425
7/9/2005,6.0625
8/9/2005,6.005
9/9/2005,5.9
12/9/2005,5.85
13/9/2005,5.86
14/9/2005,5.8025
15/9/2005,5.6875
16/9/2005,5.7125
19/9/2005,5.76
20/9/2005,5.72
21/9/2005,5.7775
22/9/2005,5.805
23/9/2005,5.74
26/9/2005,5.675
27/9/2005,5.575
28/9/2005,5.6275
29/9/2005,5.605
30/9/2005,5.7325
3/10/2005,5.81
4/10/2005,5.625
5/10/2005,5.635
6/10/2005,5.6425
7/10/2005,5.6425
10/10/2005,5.555
11/10/2005,5.635
12/10/2005,5.89
13/10/2005,5.8825
14/10/2005,5.895
17/10/2005,5.9125
18/10/2005,5.845
19/10/2005,5.8925
20/10/2005,5.85
21/10/2005,5.7225
24/10/2005,5.75
25/10/2005,5.78
26/10/2005,5.739
27/10/2005,5.76
28/10/2005,5.725
31/10/2005,5.7375
1/11/2005,5.865
2/11/2005,5.85
3/11/2005,6.0175
4/11/2005,5.92
7/11/2005,5.83
8/11/2005,5.855
9/11/2005,5.885
10/11/2005,5.875
11/11/2005,6.015
14/11/2005,5.95
15/11/2005,5.9225
16/11/2005,5.7675
17/11/2005,5.7925
18/11/2005,5.6975
21/11/2005,5.7225
22/11/2005,5.7225
23/11/2005,5.62
25/11/2005,5.5425
28/11/2005,5.5825
29/11/2005,5.54
30/11/2005,5.58
1/12/2005,5.5975
2/12/2005,5.6275
5/12/2005,5.7325
6/12/2005,5.64
7/12/2005,5.59
8/12/2005,5.6675
9/12/2005,5.6875
12/12/2005,5.84
13/12/2005,5.975
14/12/2005,5.925
15/12/2005,5.8725
16/12/2005,5.9225
19/12/2005,6.085
20/12/2005,6.0525
21/12/2005,6.065
22/12/2005,6.1275
23/12/2005,6.13
27/12/2005,6.1395
28/12/2005,6.155
29/12/2005,6.0435
30/12/2005,6.112
3/1/2006,6.285
4/1/2006,6.3225
5/1/2006,6.185
6/1/2006,6.11
9/1/2006,5.94
10/1/2006,5.89
11/1/2006,5.845
12/1/2006,5.72
13/1/2006,5.765
17/1/2006,5.7125
18/1/2006,5.6575
19/1/2006,5.65
20/1/2006,5.68
23/1/2006,5.745
24/1/2006,5.7125
25/1/2006,5.67
26/1/2006,5.73
27/1/2006,5.8925
30/1/2006,5.9875
31/1/2006,5.9425
1/2/2006,5.795
2/2/2006,5.84
3/2/2006,5.9475
6/2/2006,5.87
7/2/2006,5.74
8/2/2006,5.78
9/2/2006,5.8775
10/2/2006,5.8225
13/2/2006,5.8425
14/2/2006,5.8325
15/2/2006,5.87
16/2/2006,5.915
17/2/2006,6.0125
21/2/2006,5.875
22/2/2006,5.74
23/2/2006,5.7435
24/2/2006,5.8245
27/2/2006,5.876
28/2/2006,5.9125
1/3/2006,5.91
2/3/2006,6.04
3/3/2006,6.06
6/3/2006,6.005
7/3/2006,5.9
8/3/2006,5.84
9/3/2006,5.8775
10/3/2006,5.8925
13/3/2006,5.845
14/3/2006,5.8775
15/3/2006,5.8425
16/3/2006,5.7625
17/3/2006,5.765
20/3/2006,5.725
21/3/2006,5.7525
22/3/2006,5.77
23/3/2006,5.7475
24/3/2006,5.7375
27/3/2006,5.795
28/3/2006,5.815
29/3/2006,5.825
30/3/2006,5.8775
31/3/2006,5.715
3/4/2006,5.65
4/4/2006,5.5875
5/4/2006,5.615
6/4/2006,5.64
7/4/2006,5.5775
10/4/2006,5.5525
11/4/2006,5.625
12/4/2006,5.605
13/4/2006,5.63
17/4/2006,5.715
18/4/2006,5.755
19/4/2006,5.74
20/4/2006,5.7125
21/4/2006,5.6975
24/4/2006,5.7425
25/4/2006,5.8225
26/4/2006,5.8145
27/4/2006,5.844
28/4/2006,5.9825
1/5/2006,6.0675
2/5/2006,6.03
3/5/2006,6.055
4/5/2006,6.0375
5/5/2006,6.065
8/5/2006,5.995
9/5/2006,6.045
10/5/2006,6.06
11/5/2006,6.13
12/5/2006,6.13
15/5/2006,6.045
16/5/2006,6.0275
17/5/2006,6.04
18/5/2006,5.98
19/5/2006,5.87
22/5/2006,5.825
23/5/2006,5.8675
24/5/2006,5.825
25/5/2006,5.8425
26/5/2006,5.825
30/5/2006,5.835
31/5/2006,5.795
1/6/2006,5.8675
2/6/2006,6.09
5/6/2006,6.0325
6/6/2006,5.935
7/6/2006,5.97
8/6/2006,5.8775
9/6/2006,5.8575
12/6/2006,6
13/6/2006,5.9575
14/6/2006,5.895
15/6/2006,5.925
16/6/2006,6.0025
19/6/2006,5.845
20/6/2006,5.8525
21/6/2006,5.8625
22/6/2006,5.83
23/6/2006,5.805
26/6/2006,5.695
27/6/2006,5.794
28/6/2006,5.814
29/6/2006,5.861
