date,value
26/10/2020,10.8775
27/10/2020,10.811
28/10/2020,10.5625
29/10/2020,10.51
30/10/2020,10.563
2/11/2020,10.5225
3/11/2020,10.6425
4/11/2020,10.8625
5/11/2020,11.0375
6/11/2020,11.015
9/11/2020,11.105
10/11/2020,11.46
11/11/2020,11.525
12/11/2020,11.455
13/11/2020,11.48
16/11/2020,11.535
17/11/2020,11.6975
18/11/2020,11.7575
19/11/2020,11.775
20/11/2020,11.81
23/11/2020,11.915
24/11/2020,11.9125
25/11/2020,11.84
27/11/2020,11.9175
30/11/2020,11.685
1/12/2020,11.62
2/12/2020,11.53
3/12/2020,11.6825
4/12/2020,11.63
7/12/2020,11.585
8/12/2020,11.4575
9/12/2020,11.585
10/12/2020,11.5275
11/12/2020,11.605
14/12/2020,11.695
15/12/2020,11.8425
16/12/2020,11.8375
17/12/2020,12.0125
18/12/2020,12.2
21/12/2020,12.4325
22/12/2020,12.4725
23/12/2020,12.5875
24/12/2020,12.635
28/12/2020,12.5565
